34.5,-25.0
34.5,-20.0
34.5,-10.0
34.5,-5.0
34.5,-0.0
34.5,5.0
34.5,10.5
34.5,15.6
34.5,20.7
34.5,26.2
34.5,70.0
34.5,75.0
34.7,-30.0
35.0,-35.0
35.0,32.0
36.0,-41.0
36.0,36.5
36.7,66.2
38.0,48.0
38.2,59.9
38.4,-46.9
45.0,-46.9
45.0,-40.4
45.0,-34.5
45.0,-30.0
45.0,-25.0
45.0,-20.0
45.0,-15.0
45.0,-10.0
45.0,-5.0
45.0,-0.0
45.0,5.0
45.0,10.5
45.0,15.0
45.0,20.3
45.0,25.2
45.0,31.0
45.0,37.0
45.0,50.5
45.0,66.0
45.0,70.0
45.0,75.0
45.2,60.0
55.0,-46.9
55.0,-40.4
55.0,-34.5
55.0,-30.0
55.0,-25.0
55.0,-20.0
55.0,-15.0
55.0,-10.0
55.0,-5.0
55.0,-0.0
55.0,5.0
55.0,10.5
55.0,13.4
55.0,18.5
55.0,24.0
55.0,29.3
55.0,37.0
55.0,50.5
55.0,60.0
55.0,66.0
55.0,70.0
55.0,75.0
